Tanggal Input,Pelaksanaan,Segmen,Ecosystem,Waktu,Nama AM,Kegiatan,Action Plan,Eksisting / New Customer,PERIODE
30/06/2025,PT BPR Artha Galunggung Perseroda,BS,Banking,26 Juni 2025,Lisa,"koordinasi persiapan upgrade layanan hsi utk kantor cabang, koordinasi rencana berlangganan Floucloud"," cek layanan existing, koordinasi inputer",Eksisting ,JUNI
30/06/2025,SMK MIFTAHUSSALAM Ciamis,BS,Education,30 Juni 2025,Lisa,"Penyerahan sertifikat BNSP program DIGIuP untuk 3 siswa, koordinasi persiapan SMK PK Reguler",Koordinasi BS & RSO,Eksisting ,JUNI
30/06/2025,Pak Galih,BS,Education,30 Juni 2025,Emilie,kawal siswa sekolah PKL di Telkom Akses,-,Eksisting ,JUNI
30/06/2025,SMK Ilman Nafiah,BS,Education,30 Juni 2025,Emilie,diskusi lanjutan terkait pendampingan Program SMK PK Regular 2025,fu dan akwal pelanggan ,Eksisting ,JUNI
30/06/2025,PT. DILMONI,BS,Education,"Rabu, 9 Juni 2025",JEAN,Diskusi terkait penambahan layanan indibiz,Input,Eksisting ,JUNI
30/06/2025,SMK TARUNA,BS,Education,"Rabu, 9 Juni 2025",JEAN,diskusi terkait maganag siswa sekaligus FU SPH magang guru,FU,Eksisting ,JUNI
30/06/2025,RS Islam Zamzam Muhammadiyah,BS,Healthycare,"Rabu, 12 Juni 2025",JEAN,caring pelanggan terkait gangguan layanan astinet,Ekskalasi tim EOS  ,Eksisting ,JUNI
30/06/2025,CV. Pinguin,BS,Retail,"Rabu, 13 Juni 2025",JEAN,Diskusi terlkait support tennat untul pameran DKUKMPP Kota Cirebon,,Eksisting ,JUNI
30/06/2025,SMK PGRI JATIBARANG,BS,Education,"Rabu, 13 Juni 2025",JEAN,Penyerahan sertifikat BNSP, Ekskalasi tim EOS  ,Eksisting ,JUNI
30/06/2025,PT. MADISON ANGSA SEJAHTERA,BS,Hospitality,"Rabu, 16 Juni 2025",JEAN,Diskusi terkait pemasangan indibiz 2 line,Input,Eksisting ,JUNI
30/06/2025,SMK ISLAM DIPONEGORO,BS,Education,"Rabu, 17 Juni 2025",JEAN,Menghadiri undangan IHT sebagai perwakilan DUDI,FU,Eksisting ,JUNI
30/06/2025,SMK AL IRSYAD AL ISLAMIYAH,BS,Education,"Rabu, 17 Juni 2025",JEAN,Menghadiri undangan IHT sebagai perwakilan DUDI,FU,Eksisting ,JUNI
30/06/2025,SMK PELITA JATIBARANG,BS,Education,"Rabu, 20  Juni 2025",JEAN,Survei bantuan CDC,FU,Eksisting ,JUNI
30/06/2025,NEO HOTEL CIREBON,BS,Hospitality,"Rabu, 20 Juni 2025",JEAN,Visit awal submit sph layanan telkom,FU,New Customer ,JUNI
30/06/2025,BENTANI HOTEL CIREBON,BS,Hospitality,"Rabu, 20 Juni 2025",JEAN,Visit awal submit sph layanan telkom,FU,New Customer ,JUNI
30/06/2025,PRIMA HOTEL CIREBON,BS,Hospitality,"Rabu, 20 Juni 2025",JEAN,Visit awal submit sph layanan telkom,FU,New Customer ,JUNI
30/06/2025,MD 7 HOTEL CIREBON,BS,Hospitality,"Rabu, 20 Juni 2025",JEAN,Visit awal submit sph layanan telkom,FU,New Customer ,JUNI
30/06/2025,SMK PGRI INDRAMAYU,BS,Education,"Rabu, 30 Juni 2025",JEAN,Diskusi terkait persiapan upload data takola untuk bantuan Tefa Kolaborasi.,FU,New Customer ,JUNI
30/06/2025,Hotel Aston Cirebon,BS,Hospitality,"Senin, 30 Juni 2025",Ayaka,Follow Up terkait SPH Astinet dan survey ruangan untuk acara IDL, FU Ulang,New Customer ,JUNI
01/07/2025,INTAN HOTEL CIREBON,BS,Hospitality,"Rabu, 01 Juli 2025",JEAN,Visit awal submit sph layanan telkom,FU,New Customer ,JULI
01/07/2025,C HOTEL CIREBON,BS,Hospitality,"Rabu, 01 Juli 2025",JEAN,Visit awal submit sph layanan telkom,FU,New Customer ,JULI
01/07/2025,VINOTEL CIREBON,BS,Hospitality,"Rabu, 01 Juli 2025",JEAN,Visit awal submit sph layanan telkom,FU,New Customer ,JULI
01/07/2025,BYD CIREBON,BS,Hospitality,"Rabu, 01 Juli 2025",JEAN,Visit awal submit sph layanan telkom,FU,New Customer ,JULI
01/07/2025,SANTIKA HOTEL CIREBON,BS,Hospitality,"Rabu, 01 Juli 2025",JEAN,Visit awal submit sph layanan telkom,FU,New Customer ,JULI
01/07/2025,DEWANTI HOTEL CIREBON,BS,Hospitality,"Rabu, 01 Juli 2025",JEAN,Visit awal submit sph layanan telkom,FU,New Customer ,JULI
01/07/2025,SMA Setia Bhakti Cilawu,BS,Education,1 Juli 2025,Sara,Follow up SPH HSI + Pijar Sekolah,pihak sekolah masih mempertimbangkan penawaran Telkom dengan keadaan sekolah saat ini,New Customer ,JULI
01/07/2025,PRIMA HOTEL CIREBON,BS,Hospitality,"Rabu, 01 Juli 2025",JEAN,Visit awal submit sph layanan telkom,FU,New Customer ,JULI
01/07/2025,AMARIS HOTEL CIREBON,BS,Hospitality,"Rabu, 01 Juli 2025",JEAN,Visit awal submit sph layanan telkom,FU,New Customer ,JULI
01/07/2025,AURORA HOTEL CIREBON,BS,Hospitality,"Rabu, 01 Juli 2025",JEAN,Visit awal submit sph layanan telkom,FU,New Customer ,JULI
01/07/2025,NEOHOTEL CIREBON,BS,Hospitality,"Rabu, 01 Juli 2025",JEAN,Visit awal submit sph layanan telkom,FU,New Customer ,JULI
01/07/2025,BENTANI HOTEL CIREBON,BS,Hospitality,1 Juli 2025,JEAN,Handling gangguan layanan voice bersama tim EOS,,Eksisting ,JULI
03/07/2025,MA Khas Kempek,BS,Education,01 Juli 2025,Emilie,diskusi kebutuhan indibiz temporer untuk kegiatan penerimaan siswa baru,,Eksisting ,JULI
03/07/2025,RS Pertamina Cirebon,BS,Healt,03 juli 2025,Emilie,kunjungan dan gali opty,fu dan visit ulang bertemu manager IT,Eksisting ,JULI
03/07/2025,SMKN 1 Kapetakan,BS,Education,03 juli 2025,Emilie,diskusi terkait billing astinet dan gali opty,-,Eksisting ,JULI
03/07/2025,PT Newwicker Indonesia,BS,Manufacture,03 juli 2025,Emilie,visit awal dan gali opti kebutuhan solusi telkom layanan astinet,fu,New Customer ,JULI
03/07/2025,SMAN 8 Cirebon,BS,Education,"Kamis, 03 Juli 2025",Charlotte,kunjungan Diskusi Connectivity dan Pijar Sekolah,Present Pijar sekolah,New Customer ,JULI
03/07/2025,SMAN 3 Cirebon,BS,Education,"Kamis, 03 Juli 2025",Charlotte,kunjungan Diskusi Connectivity dan Pijar Sekolah,present Pijar sekolah,New Customer ,JULI
04/07/2025,PT Tactical Garment Garut,BS,Manufacture,3 Juli 2025,Sara,Follow up penambahan layanan sekaligus TTD KFS Connectivity,akan terus berkomunikasi dengan team leader,Eksisting ,JULI
04/07/2025,Hotel Harmoni Garut,BS,Hospitality,3 Juli 2025,Sara,Follow up upgrade layanan connectivity & caring issue layanan UHOSS,,Eksisting ,JULI
04/07/2025,El’s Villas Cipanas,BS,Hospitality,4 Juli 2025,Sara,Ngobras opty layanan telkom di tahun 2025,akan terus berkomunikasi dengan manager,Eksisting ,JULI
04/07/2025,Shizuka Japanese Villa,BS,Hospitality,4 Juli 2025,Sara,Visit tahap awal & perkenalan dengan PIC Villa,akan terus berkomunikasi dengan PIC,New Customer ,JULI
04/07/2025,PT Gunung Putri Lestari,BS,Manufaktur,01 Juli 2025,Yanfei,Visit tahap awal silaturahmi dan gali opti,Fu manajemen janji temu,New Customer ,JULI
04/07/2025,PT Bina Kayu Lestari,BS,Manufaktur,01 Juli 2025,Yanfei,Visit tahap awal silaturahmi dan gali opti,FU manajemen janji temu,New Customer ,JULI
04/07/2025,Pt Artikraft Indonesia,BS,Manufaktur,02 Juli 2025,Yanfei,Pembahasan billing dan gali opti anggaran yang bisa diserap bersama tim finance,Followup,Eksisting ,JULI
07/07/2025,SMAN 5 Cirebon,BS,Education,"Jumat, 04 Juli 2025",Charlotte,kunjungan Diskusi Connectivity dan Pijar Sekolah,Present Pijar sekolah,New Customer ,JULI
07/07/2025,SMAN 1 Mandirancan,BS,Education,"Jumat, 04 Juli 2025",Charlotte,kunjungan Diskusi Connectivity dan Pijar Sekolah,Present Pijar sekolah,New Customer ,JULI
07/07/2025,Transmart Tasikmalaya,BS,Retail,"Senin, 07 Juli 2025",Varesa,Silaturahmi Visit Pertama,Silaturahmi Visit Pertama,New Customer ,JULI
07/07/2025,SMK Islamic Center,BS,Education,"Senin, 07 Juli 2025",Charlotte,Delivery Magang Guru SMK Islamic center di Telkom Academy Bandung Dangan RSO dan pembuatan video Testimoni,klik siplah sebelum tanggal 20,Eksisting ,JULI
08/07/2025,SMKN Rajapolah,BS,Education,08 Juli 2025,Yanfei,"Visit submit sph astinet, diskusi kidi iot, sekaligus penyerahan sertifikat digiup""",Followup,New Customer ,JULI
08/07/2025,SMKN Kadipaten,BS,Education,08 Juli 2025,Yanfei,Visit submit sph hsi update dan astinet,Followup,New Customer ,JULI
08/07/2025,Mandiri Jaya Plaza,BS,Retail,08 Juli 2025,Yanfei,Visit tahap awal gali opti,Followup bertemu dg IT,New Customer ,JULI
08/07/2025,STT Cipasung,BS,Education,08 Juli 2025,Yanfei,Visit diskusi sph hsi update dan astinet,Followup,New Customer ,JULI
08/07/2025,Universitas Cipasung,BS,Education,08 Juli 2025,Yanfei,Visit diskusi dengan humas terkait jadwal audiensi dengan rektor dan jajaran terkait pemaparan kerjasama dg Telkom,Followup,New Customer ,JULI
09/07/2025,UGJ,BS,Education,4 Juli 2025,JEAN,Follow up SPH,FU,Eksisting ,JULI
09/07/2025,RAMMU CAFE,BS,Retail,4 Juli 2025,JEAN,Penyerahan souvenir setelah pemasangan indibiz2 titik dan menggali opti lainnya,FU,Eksisting ,JULI
09/07/2025,Hotel UMA,BS,Hospitality,09 Juli 2025,JEAN,"Visit awal menggali potensi lainnya, layanan eksisting menggunakan Indibiz dan Telepon.",Followup,New Customer ,JULI
09/07/2025,Hotel Grand Dian,BS,Hospitality,09 Juli 2025,JEAN,"Visit awal menggali potensi lainnya, layanan eksisting menggunakan Indibiz dan Telepon.",Followup,Eksisting ,JULI
09/07/2025,Hotel Baru,BS,Hospitality,09 Juli 2025,JEAN,"Visit awal menggali potensi lainnya, layanan eksisting menggunakan Telepon, internet menggunakan biznet.",Followup,Eksisting ,JULI
09/07/2025,PT.Sidoagung,BS,Manufacture,"Rabu, 09 Juli 2025",Ayaka,Follow Up terkait SPH Astinet dan Neucentrix,FU Ulang,Eksisting ,JULI
09/07/2025,RS. Mitra Plumbon Kanci,BS,Healthcare,"Rabu, 09 Juli 2025",Ayaka,Diskusi terkait layanan solusi Telkom,Submit SPH,New Customer ,JULI
09/07/2025,SMK Model Patriot IV,BS,Education,"Selasa, 08 Juli 2025",Charlotte,Diskusi Klik Siplah CPE FO serta menentukan Jadwal pemberian CDC,,New Customer ,JULI
09/07/2025,PT Cipta Mandiri Wirasakti (CMW),BS,Manufaktur,"Selasa, 08 Juli 2025",Charlotte,Diskusi pemasangan 18 Cctv di ruang Produksi Barang, survey titik pemasangan CCTV di hari Rabu 9 Juli dengan SE,Eksisting ,JULI
09/07/2025,PT Cipta Mandiri Wirasakti (CMW),BS,Manufaktur,"Selasa, 08 Juli 2025",Charlotte,Survey Titik pemasangan CCTV di ruang Produksi dengan mas @irsyadthoyib,Pembuatan SPH untuk di adu harga dengan Vendor yang lain yang sudah masuk duluan penawarannya,Eksisting ,JULI
10/07/2025,HOTEL BATIQA,BS,Hospitality,10 Juli 2025,JEAN,Visit awal menggali potensi pelanggan, intens FU ,New Customer ,JULI
10/07/2025,SUTAN RAJA HOTEL  dan SUTAN RAJA GUEST HOUSE,BS,Hospitality,10 Juli 2025,JEAN,Visit awal menggali potensi pelanggan. Eksisting layanan Telepon dan internet Biznet,intens FU ,New Customer ,JULI
10/07/2025,Visit,BS,Education,8 Juli 2025,Diona,Delivery sertifikat DigiUp, penawaran solusi B2B,New Customer ,JULI
10/07/2025,Visit,BS,Education,7 Juli 2025,Diona,Silaturahmi dengan kepsek baru,Follow up SPH KIDi IoT,Eksisting ,JULI
10/07/2025,SMAN 1 Banjarsari,BS,Edukasi,"Rabu, 09 Juli 2025",Varesa,Pengantaran Sertifikat Digi Up 2024,-,Eksisting ,JULI
10/07/2025,SMKN 1 Padaherang,BS,Edukasi,"Rabu, 09 Juli 2025",Varesa,"Penggalian Pendaftaran SMK PK (Sekolah tidak daftar, namun memiliki ketertarikan dengan KiDi FO)",-,New Customer ,JULI
10/07/2025,SMKN 1 Pangandaran,BS,Edukasi,"Rabu, 09 Juli 2025",Varesa,"Penggalian Pendaftaran SMK PK (Diskusi lanjutan perihal SMK PK, namun memiliki ketertarikan dengan KiDi FO)",-,Eksisting ,JULI
10/07/2025,SMKS Putera Pangandaran,BS,Edukasi,"Rabu, 09 Juli 2025",Varesa,Penggalian Pendaftaran SMK PK (Daftar TEFA Pabrik - Digital Printing),-,Eksisting ,JULI
10/07/2025,Badia Coffee Shop,BS,Retail,"Rabu, 09 Juli 2025",Varesa,Pengecekan Jaringan dan Layanan Telkom,-,New Customer ,JULI
10/07/2025,Apita Hotel,BS,Hospitality,03 juli 2025,Emilie,kunjungan dan gali opty,fu dan visit ulang bertemu manager IT,New Customer ,JULI
10/07/2025,SMKN 1 Kedawung,BS,Education,08 juli 2025,Emilie,kunjungan fu terkait layanan indibiz pijar,fu dan visit ulang bertemu humas,New Customer ,JULI
10/07/2025,PT Kreasi Garment Cirebon,BS,Manufaktur,09 juli 2025,Emilie,visit awal dan gali opti kebutuhan solusi telkom layanan astinet,fu,New Customer ,JULI
10/07/2025,SMK Ilman Nafiah,BS,Education,10 juli 2025,Emilie,diskusi lanjutan terkait pendampingan Program SMK PK Regular 2025, fu dan kawal pelanggan ,Eksisting ,JULI
10/07/2025,Klinik Utama Budiman Pangandaran,BS,Healthcare,09 juli 2025,Lisa,Diskusi Solusi Telkom & mendampingi IT Dadi Keluarga konfigurasi Astinet,jadwal Pemaparan dengan Direktur & semua tim IT RS Dadi Keluarga,Eksisting ,JULI
10/07/2025,Poltek Kelautan Perikanan Pangandaran,BS,Edukasi,09 juli 2025,Lisa,"diskusi rencana upgrade Astinet, diskusi rencana belanja perangkat di bulan Agustus. pengecekan jaringan internet persiapan Wisuda & Akreditasi",menunggu anggaran relaksasi 2025 bulan agustu,Eksisting ,JULI
10/07/2025,CV. CEMARA GUNA LESTARI - Cemara Honda Motor,BS,Manufacture,8 Juli 2025,Sara,"Visit tahap awal & perkenalan dengan PIC, serta gali opty layanan telkom",akan terus berkomunikasi dengan PIC,New Customer ,JULI
10/07/2025,Kopi Jaya & Sate Maranggi Pa Nur,BS,Horeca,9 Juli 2025,Sara,Visit tahap awal & perkenalan dengan PIC serta gali opty layanan telkom," agenda zoom meeting, utk sosialisasi terkait layanan astinet + Netmonk & WMS",New Customer ,JULI
10/07/2025,SD Negeri 2 Langensari,BS,Education,10 Juli 2025,Sara,"Visit tahap awal & perkenalan dengan Operator Sekolah, serta penawaran HSI + Pijar Sekolah",operator sekolah akan meneruskan penawaran ke kepala sekolah & bendahara (masih liburan),New Customer ,JULI
10/07/2025,SMP Negeri 1 Kadungora,BS,Education,10 Juli 2025,Sara,"Visit tahap awal & perkenalan dengan bagian tata usaha, serta penawaran HSI + Pijar Sekolah","bagian tata usaha akan meneruskan penawaran ke sarpras, kepala sekolah & bendahara (Masih liburan)",New Customer ,JULI
10/07/2025,SMP IT Wasilah Intelegensia,BS,Education,10 Juli 2025,Sara,Visit tahap awal & perkenalan dengan guru sekolah (Tidak sempat berfoto),guru sekolah akan meneruskan penawaran ke operator & kepala sekolah (masih liburan),New Customer ,JULI
10/07/2025,PT.Aiti Media Kreasi (Grage Group),BS,Retail,"Kamis, 10 Juli 2025",Ayaka,"Diskusi terkait kebutuhan indibiz untuk tenant (Skechers, Sports Station)",  Submit SPH,Eksisting ,JULI
11/07/2025,Mr Chang,BS,Manufaktur,11 Juli 2025,Yanfei,Handling complain  tandatangan MoM bersama direktur,-,Eksisting ,JULI
